Year,State,Site,Site_Prod,Sam_Time,Plot_ID,Block,N_Trt,Plant_N,Side_N,Plant_N_SI,Side_N_SI,Nitrate1,Nitrate2,Nitrate3,Ammonium1,Comment
2014,IL,Brownstown,Low,Post,406,4,10,40,80,45,90,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,407,4,5,160,0,180,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,408,4,12,40,160,45,180,2.5,1.5,0.5,.,.
2014,IL,Brownstown,Low,Post,409,4,13,40,200,45,225,0.5,2,2.5,.,.
2014,IL,Brownstown,Low,Post,410,4,2,40,0,45,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,411,4,8,280,0,315,0,3,3,1.5,.,.
2014,IL,Brownstown,Low,Post,412,4,1,0,0,0,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,413,4,11,40,120,45,135,0.5,0.5,1,.,.
2014,IL,Brownstown,Low,Post,414,4,3,80,0,90,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,415,4,6,200,0,225,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,416,4,14,40,240,45,270,0.5,2.5,0.5,.,.
2014,IL,Brownstown,Low,PPNT,.,1,.,.,.,.,.,4.5,4,1.5,4,.
2014,IL,Brownstown,Low,PPNT,.,2,.,.,.,.,.,4.5,2.5,1.5,5.1,.
2014,IL,Brownstown,Low,PPNT,.,3,.,.,.,.,.,5.5,4,2.5,2.7,.
2014,IL,Brownstown,Low,PPNT,.,4,.,.,.,.,.,4,3.5,2.5,4.4,.
2014,IL,Brownstown,Low,PSNT,101,1,2,40,0,45,0,7.5,6,.,.,.
2014,IL,Brownstown,Low,PSNT,102,1,3,80,0,90,0,22,8,.,2.8,.
2014,IL,Brownstown,Low,PSNT,108,1,5,160,0,180,0,17,15.5,.,2.5,.
2014,IL,Brownstown,Low,PSNT,109,1,1,0,0,0,0,6.5,2.5,.,3.1,.
2014,IL,Brownstown,Low,PSNT,110,1,4,120,0,135,0,25.5,15,.,.,.
2014,IL,Brownstown,Low,PSNT,114,1,6,200,0,225,0,43,19.5,.,.,.
2014,IL,Brownstown,Low,PSNT,115,1,7,240,0,270,0,50,16.5,.,6.6,.
2014,IL,Brownstown,Low,PSNT,116,1,8,280,0,315,0,64,26,.,.,.
2014,IL,Brownstown,Low,PSNT,201,2,5,160,0,180,0,28,14,.,3.9,.
2014,IL,Brownstown,Low,PSNT,203,2,7,240,0,270,0,41.5,14,.,14.8,.
2014,IL,Brownstown,Low,PSNT,205,2,1,0,0,0,0,10,8.5,.,3.4,.
2014,IL,Brownstown,Low,PSNT,208,2,3,80,0,90,0,13,8,.,3.1,.
2014,IL,Brownstown,Low,PSNT,209,2,4,120,0,135,0,23.5,13,.,.,.
2014,IL,Brownstown,Low,PSNT,212,2,8,280,0,315,0,41,14,.,.,.
2014,IL,Brownstown,Low,PSNT,213,2,2,40,0,45,0,12.5,11,.,.,.
2014,IL,Brownstown,Low,PSNT,215,2,6,200,0,225,0,35.5,34,.,.,.
2014,IL,Brownstown,Low,PSNT,301,3,1,0,0,0,0,5,3,.,2.2,.
2014,IL,Brownstown,Low,PSNT,305,3,6,200,0,225,0,50,20,.,.,.
2014,IL,Brownstown,Low,PSNT,307,3,3,80,0,90,0,21,10,.,2.2,.
2014,IL,Brownstown,Low,PSNT,310,3,5,160,0,180,0,20.5,8.5,.,3.2,.
2014,IL,Brownstown,Low,PSNT,311,3,7,240,0,270,0,76,27,.,12.9,.
2014,IL,Brownstown,Low,PSNT,312,3,4,120,0,135,0,17,13.5,.,.,.
2014,IL,Brownstown,Low,PSNT,315,3,8,280,0,315,0,29,13,.,.,.
2014,IL,Brownstown,Low,PSNT,316,3,2,40,0,45,0,16.5,15.5,.,.,.
2014,IL,Brownstown,Low,PSNT,401,4,4,120,0,135,0,23,7.5,.,.,.
2014,IL,Brownstown,Low,PSNT,405,4,7,240,0,270,0,46.5,24,.,8.2,.
2014,IL,Brownstown,Low,PSNT,407,4,5,160,0,180,0,53.5,31.5,.,3.8,.
2014,IL,Brownstown,Low,PSNT,410,4,2,40,0,45,0,12.5,19,.,.,.
2014,IL,Brownstown,Low,PSNT,411,4,8,280,0,315,0,50.5,46.5,.,.,.
2014,IL,Brownstown,Low,PSNT,412,4,1,0,0,0,0,8.5,10.5,.,3.6,.
